ParticipantID,Age,Gender,Major,Proficiency,Stage,Strand,Score,WritingScore,StageNum,StageCentered
P009,24,M,TEFL,Upper-Intermediate,Edit,Linguistic,3.25,19.26,2,1
P009,24,M,TEFL,Upper-Intermediate,Edit,Strategic,3.82,19.26,2,1
P009,24,M,TEFL,Upper-Intermediate,Edit,Critical,3.56,19.26,2,1
P010,20,F,English Literature,Advanced,Pre,Linguistic,4.18,20.0,0,-1
P010,20,F,English Literature,Advanced,Pre,Strategic,3.69,20.0,0,-1
P010,20,F,English Literature,Advanced,Pre,Critical,4.7,20.0,0,-1
P010,20,F,English Literature,Advanced,Draft,Linguistic,4.27,20.0,1,0
P010,20,F,English Literature,Advanced,Draft,Strategic,3.64,20.0,1,0
P010,20,F,English Literature,Advanced,Draft,Critical,3.87,20.0,1,0
P010,20,F,English Literature,Advanced,Edit,Linguistic,4.53,20.0,2,1
P010,20,F,English Literature,Advanced,Edit,Strategic,4.8,20.0,2,1
P010,20,F,English Literature,Advanced,Edit,Critical,5.0,20.0,2,1
P011,20,F,English Literature,Intermediate,Pre,Linguistic,3.34,17.3,0,-1
P011,20,F,English Literature,Intermediate,Pre,Strategic,3.54,17.3,0,-1
P011,20,F,English Literature,Intermediate,Pre,Critical,3.44,17.3,0,-1
P011,20,F,English Literature,Intermediate,Draft,Linguistic,3.68,17.3,1,0
P011,20,F,English Literature,Intermediate,Draft,Strategic,4.28,17.3,1,0
P011,20,F,English Literature,Intermediate,Draft,Critical,3.83,17.3,1,0
P011,20,F,English Literature,Intermediate,Edit,Linguistic,3.67,17.3,2,1
P011,20,F,English Literature,Intermediate,Edit,Strategic,3.23,17.3,2,1
P011,20,F,English Literature,Intermediate,Edit,Critical,2.91,17.3,2,1
P012,27,M,TEFL,Intermediate,Pre,Linguistic,3.22,19.38,0,-1
P012,27,M,TEFL,Intermediate,Pre,Strategic,2.88,19.38,0,-1
P012,27,M,TEFL,Intermediate,Pre,Critical,2.99,19.38,0,-1
P012,27,M,TEFL,Intermediate,Draft,Linguistic,3.11,19.38,1,0
P012,27,M,TEFL,Intermediate,Draft,Strategic,4.53,19.38,1,0
P012,27,M,TEFL,Intermediate,Draft,Critical,3.06,19.38,1,0
P012,27,M,TEFL,Intermediate,Edit,Linguistic,3.89,19.38,2,1
P012,27,M,TEFL,Intermediate,Edit,Strategic,3.02,19.38,2,1
P012,27,M,TEFL,Intermediate,Edit,Critical,3.93,19.38,2,1
P013,28,M,Translation Studies,Intermediate,Pre,Linguistic,3.18,19.09,0,-1
P013,28,M,Translation Studies,Intermediate,Pre,Strategic,2.79,19.09,0,-1
P013,28,M,Translation Studies,Intermediate,Pre,Critical,2.77,19.09,0,-1
P013,28,M,Translation Studies,Intermediate,Draft,Linguistic,3.49,19.09,1,0
P013,28,M,Translation Studies,Intermediate,Draft,Strategic,4.2,19.09,1,0
P013,28,M,Translation Studies,Intermediate,Draft,Critical,3.49,19.09,1,0
P013,28,M,Translation Studies,Intermediate,Edit,Linguistic,3.35,19.09,2,1
P013,28,M,Translation Studies,Intermediate,Edit,Strategic,3.55,19.09,2,1
P013,28,M,Translation Studies,Intermediate,Edit,Critical,4.06,19.09,2,1
P014,23,F,English Literature,Upper-Intermediate,Pre,Linguistic,3.35,16.46,0,-1
P014,23,F,English Literature,Upper-Intermediate,Pre,Strategic,2.64,16.46,0,-1
P014,23,F,English Literature,Upper-Intermediate,Pre,Critical,2.57,16.46,0,-1
P014,23,F,English Literature,Upper-Intermediate,Draft,Linguistic,4.08,16.46,1,0
P014,23,F,English Literature,Upper-Intermediate,Draft,Strategic,4.12,16.46,1,0
P014,23,F,English Literature,Upper-Intermediate,Draft,Critical,3.16,16.46,1,0
P014,23,F,English Literature,Upper-Intermediate,Edit,Linguistic,3.06,16.46,2,1
P014,23,F,English Literature,Upper-Intermediate,Edit,Strategic,3.98,16.46,2,1
P014,23,F,English Literature,Upper-Intermediate,Edit,Critical,2.7,16.46,2,1
P015,22,F,TEFL,Intermediate,Pre,Linguistic,4.05,17.73,0,-1
P015,22,F,TEFL,Intermediate,Pre,Strategic,4.59,17.73,0,-1
P015,22,F,TEFL,Intermediate,Pre,Critical,3.93,17.73,0,-1
P015,22,F,TEFL,Intermediate,Draft,Linguistic,4.21,17.73,1,0
P015,22,F,TEFL,Intermediate,Draft,Strategic,2.86,17.73,1,0
P015,22,F,TEFL,Intermediate,Draft,Critical,3.86,17.73,1,0
P015,22,F,TEFL,Intermediate,Edit,Linguistic,3.46,17.73,2,1
P015,22,F,TEFL,Intermediate,Edit,Strategic,3.28,17.73,2,1
P015,22,F,TEFL,Intermediate,Edit,Critical,3.45,17.73,2,1
P016,19,F,TEFL,Intermediate,Pre,Linguistic,4.29,19.35,0,-1
P016,19,F,TEFL,Intermediate,Pre,Strategic,3.81,19.35,0,-1
P016,19,F,TEFL,Intermediate,Pre,Critical,3.89,19.35,0,-1
P016,19,F,TEFL,Intermediate,Draft,Linguistic,4.55,19.35,1,0
P016,19,F,TEFL,Intermediate,Draft,Strategic,4.32,19.35,1,0
P016,19,F,TEFL,Intermediate,Draft,Critical,4.72,19.35,1,0
P016,19,F,TEFL,Intermediate,Edit,Linguistic,3.97,19.35,2,1
P016,19,F,TEFL,Intermediate,Edit,Strategic,3.7,19.35,2,1
P016,19,F,TEFL,Intermediate,Edit,Critical,3.94,19.35,2,1
P017,28,F,Translation Studies,Upper-Intermediate,Pre,Linguistic,4.86,17.43,0,-1
P017,28,F,Translation Studies,Upper-Intermediate,Pre,Strategic,4.54,17.43,0,-1
P017,28,F,Translation Studies,Upper-Intermediate,Pre,Critical,3.18,17.43,0,-1
P017,28,F,Translation Studies,Upper-Intermediate,Draft,Linguistic,3.46,17.43,1,0
P017,28,F,Translation Studies,Upper-Intermediate,Draft,Strategic,2.87,17.43,1,0
P017,28,F,Translation Studies,Upper-Intermediate,Draft,Critical,3.31,17.43,1,0
P017,28,F,Translation Studies,Upper-Intermediate,Edit,Linguistic,3.76,17.43,2,1
P017,28,F,Translation Studies,Upper-Intermediate,Edit,Strategic,4.21,17.43,2,1
P017,28,F,Translation Studies,Upper-Intermediate,Edit,Critical,3.24,17.43,2,1
P018,22,M,English Literature,Advanced,Pre,Linguistic,3.32,20.0,0,-1
P018,22,M,English Literature,Advanced,Pre,Strategic,1.95,20.0,0,-1
P018,22,M,English Literature,Advanced,Pre,Critical,1.77,20.0,0,-1
P018,22,M,English Literature,Advanced,Draft,Linguistic,2.16,20.0,1,0
P018,22,M,English Literature,Advanced,Draft,Strategic,1.33,20.0,1,0
P018,22,M,English Literature,Advanced,Draft,Critical,1.48,20.0,1,0
P018,22,M,English Literature,Advanced,Edit,Linguistic,3.28,20.0,2,1
P018,22,M,English Literature,Advanced,Edit,Strategic,1.57,20.0,2,1
P018,22,M,English Literature,Advanced,Edit,Critical,1.66,20.0,2,1
P019,28,M,Translation Studies,Intermediate,Pre,Linguistic,5.0,19.32,0,-1
P019,28,M,Translation Studies,Intermediate,Pre,Strategic,4.75,19.32,0,-1
P019,28,M,Translation Studies,Intermediate,Pre,Critical,5.0,19.32,0,-1
P019,28,M,Translation Studies,Intermediate,Draft,Linguistic,5.0,19.32,1,0
P019,28,M,Translation Studies,Intermediate,Draft,Strategic,5.0,19.32,1,0
P019,28,M,Translation Studies,Intermediate,Draft,Critical,5.0,19.32,1,0
P019,28,M,Translation Studies,Intermediate,Edit,Linguistic,5.0,19.32,2,1
P019,28,M,Translation Studies,Intermediate,Edit,Strategic,4.56,19.32,2,1
P019,28,M,Translation Studies,Intermediate,Edit,Critical,5.0,19.32,2,1
P020,28,M,Translation Studies,Upper-Intermediate,Pre,Linguistic,3.72,20.0,0,-1
P020,28,M,Translation Studies,Upper-Intermediate,Pre,Strategic,3.82,20.0,0,-1
P020,28,M,Translation Studies,Upper-Intermediate,Pre,Critical,3.67,20.0,0,-1
P020,28,M,Translation Studies,Upper-Intermediate,Draft,Linguistic,3.64,20.0,1,0
P020,28,M,Translation Studies,Upper-Intermediate,Draft,Strategic,3.28,20.0,1,0
P020,28,M,Translation Studies,Upper-Intermediate,Draft,Critical,3.8,20.0,1,0
P020,28,M,Translation Studies,Upper-Intermediate,Edit,Linguistic,3.59,20.0,2,1
P020,28,M,Translation Studies,Upper-Intermediate,Edit,Strategic,4.69,20.0,2,1
P020,28,M,Translation Studies,Upper-Intermediate,Edit,Critical,4.43,20.0,2,1
P021,19,F,English Literature,Intermediate,Pre,Linguistic,3.64,17.92,0,-1
P021,19,F,English Literature,Intermediate,Pre,Strategic,3.17,17.92,0,-1
P021,19,F,English Literature,Intermediate,Pre,Critical,3.28,17.92,0,-1
P021,19,F,English Literature,Intermediate,Draft,Linguistic,2.17,17.92,1,0
P021,19,F,English Literature,Intermediate,Draft,Strategic,3.51,17.92,1,0
P021,19,F,English Literature,Intermediate,Draft,Critical,3.27,17.92,1,0
P021,19,F,English Literature,Intermediate,Edit,Linguistic,2.49,17.92,2,1
P021,19,F,English Literature,Intermediate,Edit,Strategic,2.81,17.92,2,1
P021,19,F,English Literature,Intermediate,Edit,Critical,3.17,17.92,2,1
P022,27,F,Translation Studies,Upper-Intermediate,Pre,Linguistic,4.06,15.3,0,-1
P022,27,F,Translation Studies,Upper-Intermediate,Pre,Strategic,2.04,15.3,0,-1
P022,27,F,Translation Studies,Upper-Intermediate,Pre,Critical,3.21,15.3,0,-1
P022,27,F,Translation Studies,Upper-Intermediate,Draft,Linguistic,3.41,15.3,1,0
P022,27,F,Translation Studies,Upper-Intermediate,Draft,Strategic,3.47,15.3,1,0
P022,27,F,Translation Studies,Upper-Intermediate,Draft,Critical,3.14,15.3,1,0
P022,27,F,Translation Studies,Upper-Intermediate,Edit,Linguistic,2.45,15.3,2,1
P022,27,F,Translation Studies,Upper-Intermediate,Edit,Strategic,3.49,15.3,2,1
P022,27,F,Translation Studies,Upper-Intermediate,Edit,Critical,4.19,15.3,2,1
P023,27,F,Translation Studies,Upper-Intermediate,Pre,Linguistic,3.85,18.93,0,-1
P023,27,F,Translation Studies,Upper-Intermediate,Pre,Strategic,4.67,18.93,0,-1
P023,27,F,Translation Studies,Upper-Intermediate,Pre,Critical,4.31,18.93,0,-1
P023,27,F,Translation Studies,Upper-Intermediate,Draft,Linguistic,4.88,18.93,1,0
P023,27,F,Translation Studies,Upper-Intermediate,Draft,Strategic,4.61,18.93,1,0
P023,27,F,Translation Studies,Upper-Intermediate,Draft,Critical,4.24,18.93,1,0
P023,27,F,Translation Studies,Upper-Intermediate,Edit,Linguistic,4.89,18.93,2,1
P023,27,F,Translation Studies,Upper-Intermediate,Edit,Strategic,4.24,18.93,2,1
P023,27,F,Translation Studies,Upper-Intermediate,Edit,Critical,4.43,18.93,2,1
P024,19,M,Translation Studies,Intermediate,Pre,Linguistic,3.93,17.03,0,-1
P024,19,M,Translation Studies,Intermediate,Pre,Strategic,3.44,17.03,0,-1
P024,19,M,Translation Studies,Intermediate,Pre,Critical,4.13,17.03,0,-1
P024,19,M,Translation Studies,Intermediate,Draft,Linguistic,3.92,17.03,1,0
P024,19,M,Translation Studies,Intermediate,Draft,Strategic,4.45,17.03,1,0
P024,19,M,Translation Studies,Intermediate,Draft,Critical,3.91,17.03,1,0
P024,19,M,Translation Studies,Intermediate,Edit,Linguistic,2.75,17.03,2,1
P024,19,M,Translation Studies,Intermediate,Edit,Strategic,3.51,17.03,2,1
P024,19,M,Translation Studies,Intermediate,Edit,Critical,2.95,17.03,2,1
P025,23,M,TEFL,Advanced,Pre,Linguistic,4.42,19.92,0,-1
P025,23,M,TEFL,Advanced,Pre,Strategic,3.8,19.92,0,-1
P025,23,M,TEFL,Advanced,Pre,Critical,4.07,19.92,0,-1
P025,23,M,TEFL,Advanced,Draft,Linguistic,4.56,19.92,1,0
P025,23,M,TEFL,Advanced,Draft,Strategic,4.98,19.92,1,0
P025,23,M,TEFL,Advanced,Draft,Critical,4.71,19.92,1,0
P025,23,M,TEFL,Advanced,Edit,Linguistic,3.26,19.92,2,1
P025,23,M,TEFL,Advanced,Edit,Strategic,4.56,19.92,2,1
P025,23,M,TEFL,Advanced,Edit,Critical,4.44,19.92,2,1
P026,21,M,English Literature,Intermediate,Pre,Linguistic,3.68,20.0,0,-1
P026,21,M,English Literature,Intermediate,Pre,Strategic,5.0,20.0,0,-1
P026,21,M,English Literature,Intermediate,Pre,Critical,4.65,20.0,0,-1
P026,21,M,English Literature,Intermediate,Draft,Linguistic,4.89,20.0,1,0
P026,21,M,English Literature,Intermediate,Draft,Strategic,4.18,20.0,1,0
P026,21,M,English Literature,Intermediate,Draft,Critical,4.88,20.0,1,0
P026,21,M,English Literature,Intermediate,Edit,Linguistic,5.0,20.0,2,1
P026,21,M,English Literature,Intermediate,Edit,Strategic,4.59,20.0,2,1
P026,21,M,English Literature,Intermediate,Edit,Critical,4.59,20.0,2,1
P027,24,F,Translation Studies,Intermediate,Pre,Linguistic,3.48,20.0,0,-1
P027,24,F,Translation Studies,Intermediate,Pre,Strategic,2.45,20.0,0,-1
P027,24,F,Translation Studies,Intermediate,Pre,Critical,2.92,20.0,0,-1
P027,24,F,Translation Studies,Intermediate,Draft,Linguistic,3.72,20.0,1,0
P027,24,F,Translation Studies,Intermediate,Draft,Strategic,2.61,20.0,1,0
P027,24,F,Translation Studies,Intermediate,Draft,Critical,2.57,20.0,1,0
P027,24,F,Translation Studies,Intermediate,Edit,Linguistic,3.08,20.0,2,1
P027,24,F,Translation Studies,Intermediate,Edit,Strategic,3.4,20.0,2,1
P027,24,F,Translation Studies,Intermediate,Edit,Critical,2.99,20.0,2,1
P028,28,F,TEFL,Advanced,Pre,Linguistic,3.91,16.68,0,-1
P028,28,F,TEFL,Advanced,Pre,Strategic,3.01,16.68,0,-1
P028,28,F,TEFL,Advanced,Pre,Critical,4.82,16.68,0,-1
P028,28,F,TEFL,Advanced,Draft,Linguistic,3.79,16.68,1,0
P028,28,F,TEFL,Advanced,Draft,Strategic,4.07,16.68,1,0
P028,28,F,TEFL,Advanced,Draft,Critical,4.67,16.68,1,0
P028,28,F,TEFL,Advanced,Edit,Linguistic,3.21,16.68,2,1
P028,28,F,TEFL,Advanced,Edit,Strategic,3.39,16.68,2,1
P028,28,F,TEFL,Advanced,Edit,Critical,3.21,16.68,2,1
P029,24,M,TEFL,Intermediate,Pre,Linguistic,2.61,17.61,0,-1
P029,24,M,TEFL,Intermediate,Pre,Strategic,3.79,17.61,0,-1
P029,24,M,TEFL,Intermediate,Pre,Critical,3.53,17.61,0,-1
P029,24,M,TEFL,Intermediate,Draft,Linguistic,3.99,17.61,1,0
P029,24,M,TEFL,Intermediate,Draft,Strategic,4.11,17.61,1,0
P029,24,M,TEFL,Intermediate,Draft,Critical,3.83,17.61,1,0
P029,24,M,TEFL,Intermediate,Edit,Linguistic,4.14,17.61,2,1
P029,24,M,TEFL,Intermediate,Edit,Strategic,3.88,17.61,2,1
P029,24,M,TEFL,Intermediate,Edit,Critical,4.03,17.61,2,1
P030,28,F,TEFL,Advanced,Pre,Linguistic,3.65,19.14,0,-1
P030,28,F,TEFL,Advanced,Pre,Strategic,3.26,19.14,0,-1
P030,28,F,TEFL,Advanced,Pre,Critical,3.33,19.14,0,-1
P030,28,F,TEFL,Advanced,Draft,Linguistic,3.81,19.14,1,0
P030,28,F,TEFL,Advanced,Draft,Strategic,2.4,19.14,1,0
P030,28,F,TEFL,Advanced,Draft,Critical,2.74,19.14,1,0
P030,28,F,TEFL,Advanced,Edit,Linguistic,2.65,19.14,2,1
P030,28,F,TEFL,Advanced,Edit,Strategic,2.23,19.14,2,1
P030,28,F,TEFL,Advanced,Edit,Critical,3.05,19.14,2,1
P031,20,M,TEFL,Advanced,Pre,Linguistic,3.29,20.0,0,-1
P031,20,M,TEFL,Advanced,Pre,Strategic,4.01,20.0,0,-1
P031,20,M,TEFL,Advanced,Pre,Critical,3.38,20.0,0,-1
P031,20,M,TEFL,Advanced,Draft,Linguistic,2.91,20.0,1,0
P031,20,M,TEFL,Advanced,Draft,Strategic,3.03,20.0,1,0
P031,20,M,TEFL,Advanced,Draft,Critical,2.59,20.0,1,0
P031,20,M,TEFL,Advanced,Edit,Linguistic,2.89,20.0,2,1
P031,20,M,TEFL,Advanced,Edit,Strategic,3.15,20.0,2,1
P031,20,M,TEFL,Advanced,Edit,Critical,3.73,20.0,2,1
P032,24,M,Translation Studies,Intermediate,Pre,Linguistic,2.61,18.26,0,-1
P032,24,M,Translation Studies,Intermediate,Pre,Strategic,1.76,18.26,0,-1
P032,24,M,Translation Studies,Intermediate,Pre,Critical,3.13,18.26,0,-1
P032,24,M,Translation Studies,Intermediate,Draft,Linguistic,2.37,18.26,1,0
P032,24,M,Translation Studies,Intermediate,Draft,Strategic,2.4,18.26,1,0
P032,24,M,Translation Studies,Intermediate,Draft,Critical,2.14,18.26,1,0
P032,24,M,Translation Studies,Intermediate,Edit,Linguistic,2.34,18.26,2,1
P032,24,M,Translation Studies,Intermediate,Edit,Strategic,2.88,18.26,2,1
P032,24,M,Translation Studies,Intermediate,Edit,Critical,2.58,18.26,2,1
P033,21,F,TEFL,Upper-Intermediate,Pre,Linguistic,4.25,19.72,0,-1
P033,21,F,TEFL,Upper-Intermediate,Pre,Strategic,3.55,19.72,0,-1
P033,21,F,TEFL,Upper-Intermediate,Pre,Critical,4.27,19.72,0,-1
P033,21,F,TEFL,Upper-Intermediate,Draft,Linguistic,3.91,19.72,1,0
P033,21,F,TEFL,Upper-Intermediate,Draft,Strategic,3.65,19.72,1,0
P033,21,F,TEFL,Upper-Intermediate,Draft,Critical,3.89,19.72,1,0
P033,21,F,TEFL,Upper-Intermediate,Edit,Linguistic,4.69,19.72,2,1
P033,21,F,TEFL,Upper-Intermediate,Edit,Strategic,4.76,19.72,2,1
P033,21,F,TEFL,Upper-Intermediate,Edit,Critical,3.75,19.72,2,1
P034,25,M,English Literature,Upper-Intermediate,Pre,Linguistic,4.3,17.65,0,-1
P034,25,M,English Literature,Upper-Intermediate,Pre,Strategic,3.73,17.65,0,-1
P034,25,M,English Literature,Upper-Intermediate,Pre,Critical,3.35,17.65,0,-1
P034,25,M,English Literature,Upper-Intermediate,Draft,Linguistic,3.11,17.65,1,0
P034,25,M,English Literature,Upper-Intermediate,Draft,Strategic,3.59,17.65,1,0
P034,25,M,English Literature,Upper-Intermediate,Draft,Critical,3.92,17.65,1,0
P034,25,M,English Literature,Upper-Intermediate,Edit,Linguistic,4.0,17.65,2,1
P034,25,M,English Literature,Upper-Intermediate,Edit,Strategic,5.0,17.65,2,1
P034,25,M,English Literature,Upper-Intermediate,Edit,Critical,4.7,17.65,2,1
P035,25,M,TEFL,Upper-Intermediate,Pre,Linguistic,4.02,20.0,0,-1
P035,25,M,TEFL,Upper-Intermediate,Pre,Strategic,3.54,20.0,0,-1
P035,25,M,TEFL,Upper-Intermediate,Pre,Critical,4.24,20.0,0,-1
P035,25,M,TEFL,Upper-Intermediate,Draft,Linguistic,3.14,20.0,1,0
P035,25,M,TEFL,Upper-Intermediate,Draft,Strategic,3.71,20.0,1,0
P035,25,M,TEFL,Upper-Intermediate,Draft,Critical,5.0,20.0,1,0
P035,25,M,TEFL,Upper-Intermediate,Edit,Linguistic,3.82,20.0,2,1
P035,25,M,TEFL,Upper-Intermediate,Edit,Strategic,4.43,20.0,2,1
P035,25,M,TEFL,Upper-Intermediate,Edit,Critical,3.75,20.0,2,1
P036,27,M,English Literature,Intermediate,Pre,Linguistic,3.04,17.6,0,-1
P036,27,M,English Literature,Intermediate,Pre,Strategic,3.8,17.6,0,-1
P036,27,M,English Literature,Intermediate,Pre,Critical,4.01,17.6,0,-1
P036,27,M,English Literature,Intermediate,Draft,Linguistic,3.65,17.6,1,0
P036,27,M,English Literature,Intermediate,Draft,Strategic,3.32,17.6,1,0
P036,27,M,English Literature,Intermediate,Draft,Critical,3.69,17.6,1,0
P036,27,M,English Literature,Intermediate,Edit,Linguistic,3.31,17.6,2,1
P036,27,M,English Literature,Intermediate,Edit,Strategic,3.93,17.6,2,1
P036,27,M,English Literature,Intermediate,Edit,Critical,2.55,17.6,2,1
P037,26,F,TEFL,Intermediate,Pre,Linguistic,1.95,16.44,0,-1
P037,26,F,TEFL,Intermediate,Pre,Strategic,1.55,16.44,0,-1
P037,26,F,TEFL,Intermediate,Pre,Critical,1.0,16.44,0,-1
P037,26,F,TEFL,Intermediate,Draft,Linguistic,2.03,16.44,1,0
P037,26,F,TEFL,Intermediate,Draft,Strategic,3.52,16.44,1,0
P037,26,F,TEFL,Intermediate,Draft,Critical,2.52,16.44,1,0
P037,26,F,TEFL,Intermediate,Edit,Linguistic,2.03,16.44,2,1
P037,26,F,TEFL,Intermediate,Edit,Strategic,2.54,16.44,2,1
P037,26,F,TEFL,Intermediate,Edit,Critical,1.53,16.44,2,1
P038,22,F,Translation Studies,Upper-Intermediate,Pre,Linguistic,3.89,18.09,0,-1
P038,22,F,Translation Studies,Upper-Intermediate,Pre,Strategic,3.22,18.09,0,-1
P038,22,F,Translation Studies,Upper-Intermediate,Pre,Critical,4.01,18.09,0,-1
P038,22,F,Translation Studies,Upper-Intermediate,Draft,Linguistic,4.37,18.09,1,0
