ParticipantID,Age,Gender,Major,Proficiency,Pre_Linguistic,Pre_Strategic,Pre_Critical,Pre_Composite,Draft_Linguistic,Draft_Strategic,Draft_Critical,Draft_Composite,Edit_Linguistic,Edit_Strategic,Edit_Critical,Edit_Composite,WritingScore
P056,27,F,English Literature,Intermediate,3.06,4.55,4.57,4.06,4.38,3.83,4.38,4.2,3.71,3.81,3.16,3.56,19.35
P057,20,F,TEFL,Intermediate,4.44,3.98,3.54,3.99,3.66,3.56,3.43,3.55,3.0,3.46,3.16,3.21,15.71
P058,22,M,English Literature,Intermediate,4.3,4.34,4.32,4.32,3.83,3.38,3.26,3.49,3.98,4.0,4.45,4.14,20.0
P059,26,F,TEFL,Upper-Intermediate,3.32,3.13,3.55,3.33,3.17,3.11,3.58,3.28,3.22,3.54,3.56,3.44,16.16
P060,26,M,Translation Studies,Advanced,2.63,2.15,2.28,2.35,3.23,3.23,3.15,3.2,3.82,1.87,3.41,3.03,20.0
P061,27,M,TEFL,Upper-Intermediate,2.66,3.54,3.74,3.31,2.66,3.78,2.84,3.09,3.7,2.78,2.89,3.12,18.85
P062,25,F,English Literature,Upper-Intermediate,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.44,4.81,20.0
P063,21,M,Translation Studies,Advanced,2.56,3.33,2.24,2.71,2.71,2.62,2.89,2.74,3.05,2.41,3.27,2.91,18.04
P064,28,F,Translation Studies,Intermediate,2.31,2.35,2.48,2.38,2.84,1.81,1.78,2.14,1.82,2.51,2.99,2.44,16.58
P065,27,M,TEFL,Upper-Intermediate,1.79,2.02,1.84,1.89,2.52,1.66,1.57,1.92,2.24,1.23,2.19,1.89,17.1
P066,19,M,Translation Studies,Intermediate,3.3,2.77,3.45,3.17,2.87,3.04,3.61,3.17,3.69,3.1,3.91,3.57,20.0
P067,24,F,English Literature,Intermediate,4.2,3.93,4.42,4.18,4.08,4.28,5.0,4.45,4.28,4.57,4.25,4.36,19.51
P068,21,F,TEFL,Advanced,3.66,3.8,2.93,3.46,3.46,3.97,3.94,3.79,3.61,3.95,3.75,3.77,20.0
P069,24,F,English Literature,Advanced,3.87,1.85,2.81,2.84,3.9,3.91,3.09,3.63,3.32,4.36,3.43,3.7,20.0
P070,26,F,TEFL,Advanced,3.0,3.44,3.48,3.31,2.82,3.37,3.13,3.11,3.96,3.52,3.36,3.61,18.4
P071,20,F,TEFL,Upper-Intermediate,4.19,3.43,2.93,3.51,3.86,3.87,2.87,3.53,3.75,4.0,3.82,3.86,20.0
P072,22,M,TEFL,Advanced,2.51,2.42,3.09,2.67,3.4,3.55,3.31,3.42,2.6,2.83,3.04,2.83,18.07
P073,22,M,English Literature,Intermediate,3.37,3.9,3.58,3.62,3.75,3.91,3.39,3.68,3.96,3.77,2.96,3.56,20.0
P074,29,F,TEFL,Upper-Intermediate,3.23,3.06,3.03,3.11,3.51,3.37,3.36,3.41,3.4,3.51,2.15,3.02,17.29
P075,27,M,Translation Studies,Intermediate,2.79,2.29,1.94,2.34,2.43,1.93,2.19,2.18,2.68,1.91,2.59,2.4,18.75
P076,28,F,English Literature,Upper-Intermediate,2.55,2.5,2.66,2.57,3.2,2.45,3.15,2.93,2.31,2.83,2.98,2.7,20.0
P077,26,M,Translation Studies,Intermediate,2.73,2.9,2.6,2.74,3.4,2.45,3.24,3.03,2.35,2.64,2.14,2.38,18.29
P078,21,M,Translation Studies,Intermediate,4.25,3.57,3.91,3.91,4.48,5.0,5.0,4.83,4.07,5.0,4.49,4.52,19.22
P079,21,M,Translation Studies,Upper-Intermediate,3.06,2.99,4.09,3.38,3.62,3.46,3.76,3.62,4.16,3.85,3.43,3.81,20.0
P080,26,M,TEFL,Intermediate,5.0,4.75,4.75,4.83,4.71,3.9,4.8,4.47,3.77,4.05,5.0,4.27,20.0
P081,26,F,TEFL,Advanced,4.44,4.43,4.96,4.61,4.21,4.57,3.9,4.23,4.62,4.39,4.02,4.34,18.87
P082,22,M,English Literature,Intermediate,3.27,2.34,2.94,2.85,3.26,3.05,4.08,3.46,3.31,4.03,3.42,3.59,18.66
P083,24,F,TEFL,Intermediate,2.45,3.18,3.45,3.03,3.79,3.68,3.25,3.58,3.96,3.96,3.54,3.82,20.0
P084,29,F,English Literature,Intermediate,3.66,4.4,2.44,3.5,2.95,3.07,3.48,3.17,3.54,2.91,3.17,3.21,16.49
P085,23,F,TEFL,Intermediate,4.4,4.02,4.92,4.45,4.48,4.93,4.17,4.53,4.59,5.0,5.0,4.86,20.0
P086,23,M,English Literature,Intermediate,2.7,2.02,2.55,2.42,2.89,3.01,2.64,2.85,3.47,3.21,2.58,3.09,19.59
P087,24,F,English Literature,Upper-Intermediate,5.0,4.13,4.0,4.38,4.42,4.87,4.61,4.63,4.33,4.32,4.3,4.32,17.56
P088,22,M,Translation Studies,Intermediate,4.78,4.51,3.54,4.28,4.18,3.96,3.74,3.96,4.27,5.0,4.85,4.71,20.0
P089,20,F,TEFL,Upper-Intermediate,4.11,3.46,4.03,3.87,4.03,3.47,3.19,3.56,3.15,3.79,3.91,3.62,17.03
P090,26,F,Translation Studies,Intermediate,4.15,3.02,4.36,3.84,3.25,4.04,3.55,3.61,3.31,2.61,3.43,3.12,15.0
P091,29,F,English Literature,Upper-Intermediate,3.72,3.77,4.47,3.98,4.06,4.95,3.84,4.28,4.58,4.13,4.48,4.4,18.51
P092,24,M,Translation Studies,Advanced,3.8,3.77,4.24,3.93,4.19,3.28,3.66,3.71,3.16,3.48,3.17,3.27,20.0
P093,19,M,Translation Studies,Advanced,2.71,4.12,3.75,3.53,3.84,3.06,3.71,3.54,4.72,4.13,3.8,4.22,18.34
P094,20,F,English Literature,Advanced,2.48,2.93,2.68,2.7,2.78,3.29,2.22,2.76,3.57,3.64,3.14,3.45,13.49
P095,29,F,English Literature,Upper-Intermediate,2.31,3.3,2.56,2.73,3.1,3.18,3.82,3.37,2.8,3.09,2.16,2.68,20.0
P096,25,F,TEFL,Upper-Intermediate,3.16,3.53,3.19,3.29,2.25,2.98,3.41,2.88,2.1,2.51,3.48,2.7,18.24
P097,23,F,TEFL,Upper-Intermediate,5.0,3.64,3.35,4.0,3.96,3.97,3.48,3.8,3.23,4.9,3.91,4.01,17.55
P098,24,F,TEFL,Advanced,3.4,4.23,5.0,4.21,4.28,3.86,3.8,3.98,3.84,3.92,3.86,3.88,20.0
P099,22,F,Translation Studies,Intermediate,1.9,3.12,3.08,2.7,2.94,1.7,2.87,2.51,2.66,1.66,2.45,2.26,17.99
P100,23,M,English Literature,Advanced,4.45,2.4,3.67,3.51,3.75,2.96,3.88,3.53,4.46,3.29,4.0,3.92,17.09
