ParticipantID,Age,Gender,Major,Proficiency,Pre_Composite,Draft_Composite,Edit_Composite,Gain_Composite,Gain_Composite_pct,Gain_Linguistic,Gain_Strategic,Gain_Critical,WritingScore
P063,21,M,Translation Studies,Advanced,2.71,2.74,2.91,0.2,7.38,0.49,-0.92,1.03,18.04
P064,28,F,Translation Studies,Intermediate,2.38,2.14,2.44,0.06,2.52,-0.49,0.16,0.51,16.58
P065,27,M,TEFL,Upper-Intermediate,1.89,1.92,1.89,0.0,0.0,0.45,-0.79,0.35,17.1
P066,19,M,Translation Studies,Intermediate,3.17,3.17,3.57,0.4,12.62,0.39,0.33,0.46,20.0
P067,24,F,English Literature,Intermediate,4.18,4.45,4.36,0.18,4.31,0.08,0.64,-0.17,19.51
P068,21,F,TEFL,Advanced,3.46,3.79,3.77,0.31,8.96,-0.05,0.15,0.82,20.0
P069,24,F,English Literature,Advanced,2.84,3.63,3.7,0.86,30.28,-0.55,2.51,0.62,20.0
P070,26,F,TEFL,Advanced,3.31,3.11,3.61,0.3,9.06,0.96,0.08,-0.12,18.4
P071,20,F,TEFL,Upper-Intermediate,3.51,3.53,3.86,0.35,9.97,-0.44,0.57,0.89,20.0
P072,22,M,TEFL,Advanced,2.67,3.42,2.83,0.16,5.99,0.09,0.41,-0.05,18.07
P073,22,M,English Literature,Intermediate,3.62,3.68,3.56,-0.06,-1.66,0.59,-0.13,-0.62,20.0
P074,29,F,TEFL,Upper-Intermediate,3.11,3.41,3.02,-0.09,-2.89,0.17,0.45,-0.88,17.29
P075,27,M,Translation Studies,Intermediate,2.34,2.18,2.4,0.06,2.56,-0.11,-0.38,0.65,18.75
P076,28,F,English Literature,Upper-Intermediate,2.57,2.93,2.7,0.13,5.06,-0.24,0.33,0.32,20.0
P077,26,M,Translation Studies,Intermediate,2.74,3.03,2.38,-0.36,-13.14,-0.38,-0.26,-0.46,18.29
P078,21,M,Translation Studies,Intermediate,3.91,4.83,4.52,0.61,15.6,-0.18,1.43,0.58,19.22
P079,21,M,Translation Studies,Upper-Intermediate,3.38,3.62,3.81,0.43,12.72,1.1,0.86,-0.66,20.0
P080,26,M,TEFL,Intermediate,4.83,4.47,4.27,-0.56,-11.59,-1.23,-0.7,0.25,20.0
P081,26,F,TEFL,Advanced,4.61,4.23,4.34,-0.27,-5.86,0.18,-0.04,-0.94,18.87
P082,22,M,English Literature,Intermediate,2.85,3.46,3.59,0.74,25.96,0.04,1.69,0.48,18.66
P083,24,F,TEFL,Intermediate,3.03,3.58,3.82,0.79,26.07,1.51,0.78,0.09,20.0
P084,29,F,English Literature,Intermediate,3.5,3.17,3.21,-0.29,-8.29,-0.12,-1.49,0.73,16.49
P085,23,F,TEFL,Intermediate,4.45,4.53,4.86,0.41,9.21,0.19,0.98,0.08,20.0
P086,23,M,English Literature,Intermediate,2.42,2.85,3.09,0.67,27.69,0.77,1.19,0.03,19.59
P087,24,F,English Literature,Upper-Intermediate,4.38,4.63,4.32,-0.06,-1.37,-0.67,0.19,0.3,17.56
P088,22,M,Translation Studies,Intermediate,4.28,3.96,4.71,0.43,10.05,-0.51,0.49,1.31,20.0
P089,20,F,TEFL,Upper-Intermediate,3.87,3.56,3.62,-0.25,-6.46,-0.96,0.33,-0.12,17.03
P090,26,F,Translation Studies,Intermediate,3.84,3.61,3.12,-0.72,-18.75,-0.84,-0.41,-0.93,15.0
P091,29,F,English Literature,Upper-Intermediate,3.98,4.28,4.4,0.42,10.55,0.86,0.36,0.01,18.51
P092,24,M,Translation Studies,Advanced,3.93,3.71,3.27,-0.66,-16.79,-0.64,-0.29,-1.07,20.0
P093,19,M,Translation Studies,Advanced,3.53,3.54,4.22,0.69,19.55,2.01,0.01,0.05,18.34
P094,20,F,English Literature,Advanced,2.7,2.76,3.45,0.75,27.78,1.09,0.71,0.46,13.49
P095,29,F,English Literature,Upper-Intermediate,2.73,3.37,2.68,-0.05,-1.83,0.49,-0.21,-0.4,20.0
P096,25,F,TEFL,Upper-Intermediate,3.29,2.88,2.7,-0.59,-17.93,-1.06,-1.02,0.29,18.24
P097,23,F,TEFL,Upper-Intermediate,4.0,3.8,4.01,0.01,0.25,-1.77,1.26,0.56,17.55
P098,24,F,TEFL,Advanced,4.21,3.98,3.88,-0.33,-7.84,0.44,-0.31,-1.14,20.0
P099,22,F,Translation Studies,Intermediate,2.7,2.51,2.26,-0.44,-16.3,0.76,-1.46,-0.63,17.99
P100,23,M,English Literature,Advanced,3.51,3.53,3.92,0.41,11.68,0.01,0.89,0.33,17.09
